"","x"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Andorra"
"5","Angola"
"6","Anguilla"
"7","Antigua_and_Barbuda"
"8","Argentina"
"9","Armenia"
"10","Aruba"
"11","Australia"
"12","Austria"
"13","Azerbaijan"
"14","Bahamas"
"15","Bahrain"
"16","Bangladesh"
"17","Barbados"
"18","Belarus"
"19","Belgium"
"20","Belize"
"21","Benin"
"22","Bermuda"
"23","Bhutan"
"24","Bolivia"
"25","Bonaire, Saint Eustatius and Saba"
"26","Bosnia_and_Herzegovina"
"27","Botswana"
"28","Brazil"
"29","British_Virgin_Islands"
"30","Brunei_Darussalam"
"31","Bulgaria"
"32","Burkina_Faso"
"33","Burundi"
"34","Cambodia"
"35","Cameroon"
"36","Canada"
"37","Cape_Verde"
"38","Cases_on_an_international_conveyance_Japan"
"39","Cayman_Islands"
"40","Central_African_Republic"
"41","Chad"
"42","Chile"
"43","China"
"44","Colombia"
"45","Comoros"
"46","Congo"
"47","Costa_Rica"
"48","Cote_dIvoire"
"49","Croatia"
"50","Cuba"
"51","Curaçao"
"52","Cyprus"
"53","Czechia"
"54","Democratic_Republic_of_the_Congo"
"55","Denmark"
"56","Djibouti"
"57","Dominica"
"58","Dominican_Republic"
"59","Ecuador"
"60","Egypt"
"61","El_Salvador"
"62","Equatorial_Guinea"
"63","Eritrea"
"64","Estonia"
"65","Eswatini"
"66","Ethiopia"
"67","Falkland_Islands_(Malvinas)"
"68","Faroe_Islands"
"69","Fiji"
"70","Finland"
"71","France"
"72","French_Polynesia"
"73","Gabon"
"74","Gambia"
"75","Georgia"
"76","Germany"
"77","Ghana"
"78","Gibraltar"
"79","Greece"
"80","Greenland"
"81","Grenada"
"82","Guam"
"83","Guatemala"
"84","Guernsey"
"85","Guinea"
"86","Guinea_Bissau"
"87","Guyana"
"88","Haiti"
"89","Holy_See"
"90","Honduras"
"91","Hungary"
"92","Iceland"
"93","India"
"94","Indonesia"
"95","Iran"
"96","Iraq"
"97","Ireland"
"98","Isle_of_Man"
"99","Israel"
"100","Italy"
"101","Jamaica"
"102","Japan"
"103","Jersey"
"104","Jordan"
"105","Kazakhstan"
"106","Kenya"
"107","Kosovo"
"108","Kuwait"
"109","Kyrgyzstan"
"110","Laos"
"111","Latvia"
"112","Lebanon"
"113","Lesotho"
"114","Liberia"
"115","Libya"
"116","Liechtenstein"
"117","Lithuania"
"118","Luxembourg"
"119","Madagascar"
"120","Malawi"
"121","Malaysia"
"122","Maldives"
"123","Mali"
"124","Malta"
"125","Marshall_Islands"
"126","Mauritania"
"127","Mauritius"
"128","Mexico"
"129","Micronesia_(Federated_States_of)"
"130","Moldova"
"131","Monaco"
"132","Mongolia"
"133","Montenegro"
"134","Montserrat"
"135","Morocco"
"136","Mozambique"
"137","Myanmar"
"138","Namibia"
"139","Nepal"
"140","Netherlands"
"141","New_Caledonia"
"142","New_Zealand"
"143","Nicaragua"
"144","Niger"
"145","Nigeria"
"146","North_Macedonia"
"147","Northern_Mariana_Islands"
"148","Norway"
"149","Oman"
"150","Pakistan"
"151","Palestine"
"152","Panama"
"153","Papua_New_Guinea"
"154","Paraguay"
"155","Peru"
"156","Philippines"
"157","Poland"
"158","Portugal"
"159","Puerto_Rico"
"160","Qatar"
"161","Romania"
"162","Russia"
"163","Rwanda"
"164","Saint_Kitts_and_Nevis"
"165","Saint_Lucia"
"166","Saint_Vincent_and_the_Grenadines"
"167","San_Marino"
"168","Sao_Tome_and_Principe"
"169","Saudi_Arabia"
"170","Senegal"
"171","Serbia"
"172","Seychelles"
"173","Sierra_Leone"
"174","Singapore"
"175","Sint_Maarten"
"176","Slovakia"
"177","Slovenia"
"178","Solomon_Islands"
"179","Somalia"
"180","South_Africa"
"181","South_Korea"
"182","South_Sudan"
"183","Spain"
"184","Sri_Lanka"
"185","Sudan"
"186","Suriname"
"187","Sweden"
"188","Switzerland"
"189","Syria"
"190","Taiwan"
"191","Tajikistan"
"192","Thailand"
"193","Timor_Leste"
"194","Togo"
"195","Trinidad_and_Tobago"
"196","Tunisia"
"197","Turkey"
"198","Turks_and_Caicos_islands"
"199","Uganda"
"200","Ukraine"
"201","United_Arab_Emirates"
"202","United_Kingdom"
"203","United_Republic_of_Tanzania"
"204","United_States_of_America"
"205","United_States_Virgin_Islands"
"206","Uruguay"
"207","Uzbekistan"
"208","Vanuatu"
"209","Venezuela"
"210","Vietnam"
"211","Wallis_and_Futuna"
"212","Western_Sahara"
"213","Yemen"
"214","Zambia"
"215","Zimbabwe"
